source_system,source_record_no,source_reported_road_no,source_name,source_district,road_key,canonical_display_name,match_method,evidence,match_status
historical_normative_workbook,46,129,Batang Kulur Kanan - Bumi Berkat (Kisung),Sungai Raya,HSS-KAB-129,Batang Kulur Kanan - Bumi Berkat (Jl. Kisung),EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,47,091,Batang Kulur Kanan - Sarangan,Sungai Raya,HSS-KAB-091,Batang Kulur Kanan - Sarangan,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,48,113,Batang Kulur Kiri - Durian Landung,Sungai Raya,HSS-KAB-113,Batang Kulur Kiri - Durian Landung,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,49,154,Batu Laki - Muara Pipii,Padang Batung,HSS-KAB-154,Batu Laki - Muara Pipii,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,50,269,Bayampah - Tanuhi - Tugu Niih,Loksado,HSS-KAB-269,Bayampah - Tanuhi - Tugu Niih,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,51,289,Bayanan - Habirau Tengah,Daha Selatan,HSS-KAB-289,Bayanan - Habirau Tengah,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,52,306,Bayanan - Pihanin,Daha Selatan,HSS-KAB-306,Bayanan - Pihanin,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,53,039,Bina Bakat,Kandangan,HSS-KAB-039,Bina Bakat,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,54,250,Binjai (Sirih Hulu) - Ds. Seranggan,"Kalumpang, Sungai Raya",HSS-KAB-250,Binjai (Sirih Hulu) - Ds. Seranggan,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,55,082,Biti - Sungai Kupang (Karya Bakti TNI),Kandangan,HSS-KAB-082,Biti - Sungai Kupang (Karya Bakti TNI),EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,56,023,Brigjen Katamso,Kandangan,HSS-KAB-023,Brigjen Katamso,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,57,265,Bubuih - Ds. Halunuk,Loksado,HSS-KAB-265,Bubuih - Ds. Halunuk,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,58,278,Bubuih (Ds. Halunuk) - Kandihin,Loksado,HSS-KAB-278,Bubuih (Ds. Halunuk) - Kandihin,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,59,028,Budi Bakti - Tiga Desember,Kandangan,HSS-KAB-028,Budi Bakti - Tiga Desember,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,60,229,Buluh - Ds. Tebing Tinggi,Simpur,HSS-KAB-229,Buluh - Ds. Tebing Tinggi,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,61,092,Bumi Berkat - Mungkur Galah,Sungai Raya,HSS-KAB-092,Bumi Berkat - Mungkur Galah,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,62,271,Buntu Muara Hatib - Bts. Kab. HST,Loksado,HSS-KAB-271,Buntu Muara Hatib - Bts. Kab. HST,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,63,331,Cangkingan Herman,Daha Utara,HSS-KAB-331,Cangkingan Herman,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,64,015,Dahlia,Kandangan,HSS-KAB-015,Dahlia,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,65,280,Datar Belimbing - Muara Kitar,Loksado,HSS-KAB-280,Datar Belimbing - Muara Kitar,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,66,033,DI. Panjaitan - Loklua,Kandangan,HSS-KAB-033,DI. Panjaitan - Loklua,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,67,236,Ds. Kapuh Tengah (Menuju Majelis Talim),Simpur,HSS-KAB-236,Ds. Kapuh Tengah (Jl. Menuju Majelis Talim),EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,68,239,Firdaus - Ds. Kapuh,Simpur,HSS-KAB-239,Firdaus - Ds. Kapuh,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,69,162,Galuntang Tayub - Ds. Madang,Padang Batung,HSS-KAB-162,Galuntang Tayub - Ds. Madang,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,70,052,Gambah Dalam - Rantauan,Kandangan,HSS-KAB-052,Gambah Dalam - Rantauan,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,71,076,Gambah Dalam Barat - Mahulung,"Angkinang, Kandangan",HSS-KAB-076,Gambah Dalam Barat - Mahulung,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,72,053,Gambah Luar - Gambah Dalam,Kandangan,HSS-KAB-053,Gambah Luar - Gambah Dalam,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,73,055,Gambah Luar - Sungai Kudung,Kandangan,HSS-KAB-055,Gambah Luar - Sungai Kudung,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,74,045,Gambir - Sp. Empat Lungau,Kandangan,HSS-KAB-045,Gambir - Sp. Empat Lungau,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,75,330,Gang Bidan (Ds. Tambak Bitin),Daha Utara,HSS-KAB-330,Gang Bidan (Ds. Tambak Bitin),EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,76,220,Garunggang - Hantamangu,Simpur,HSS-KAB-220,Garunggang - Hantamangu,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,77,232,Gerilya - Ds. Simpur,Simpur,HSS-KAB-232,Gerilya - Ds. Simpur,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,78,297,Gerilya / (Depan PUSTU Habirau),Daha Selatan,HSS-KAB-297,Gerilya / (Depan PUSTU Habirau),EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,79,344,Goha - Ds. Amawang Kanan,Kandangan,HSS-KAB-344,Goha - Ds. Amawang Kanan,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,80,196,Gumbil - Masimpan,Telaga Langsat,HSS-KAB-196,Gumbil - Masimpan,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,81,226,Guru H. Izim - Ds. Pantai Ulin,Simpur,HSS-KAB-226,Guru H. Izim - Ds. Pantai Ulin,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,82,074,H. Jarkasi - Ds. Sungai Paring,Kandangan,HSS-KAB-074,H. Jarkasi - Ds. Sungai Paring,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,83,230,H. Saim Garunggang - Kalimput,Simpur,HSS-KAB-230,H. Saim Garunggang - Kalimput,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,84,314,H.M. Thaib,Daha Utara,HSS-KAB-314,H.M. Thaib,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,85,294,Habib,Daha Selatan,HSS-KAB-294,Habib,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,86,319,Habib Ibrahim - Ds. Sei Mandala,Daha Utara,HSS-KAB-319,Habib Ibrahim - Ds. Sei Mandala,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,87,337,Hakurung Dalam - Ds. Sungai Haji,Daha Utara,HSS-KAB-337,Hakurung Dalam - Ds. Sungai Haji,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,88,213,Halaban,Simpur,HSS-KAB-213,Halaban,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,89,203,Halayung - Hantarukung,Simpur,HSS-KAB-203,Halayung - Hantarukung,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,90,266,Halunuk - Riam Tajam/Talo - Hamak Umpaya,"Loksado, Telaga Langsat",HSS-KAB-266,Halunuk - Riam Tajam/Talo - Hamak Umpaya,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,91,198,Hamak - Umbai,Telaga Langsat,HSS-KAB-198,Hamak - Umbai,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,92,197,Hamak Timur - Umpaya,Telaga Langsat,HSS-KAB-197,Hamak Timur - Umpaya,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,93,199,Hamak Utara - Samaragi,Telaga Langsat,HSS-KAB-199,Hamak Utara - Samaragi,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,94,086,Hamalau - Anjiran,Sungai Raya,HSS-KAB-086,Hamalau - Anjiran,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,95,118,Hamalau - Asam Cangkok,"Kandangan, Sungai Raya",HSS-KAB-118,Hamalau - Asam Cangkok,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,96,106,Hamalau - Ganda,"Kandangan, Padang Batung, Sungai Raya",HSS-KAB-106,Hamalau - Ganda,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,97,098,Hamalau - Pahampangan,Sungai Raya,HSS-KAB-098,Hamalau - Pahampangan,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,98,102,Hamalau - Telaga Bidadari - Wasah Hilir,"Simpur, Sungai Raya",HSS-KAB-102,Hamalau - Telaga Bidadari - Wasah Hilir,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,99,334,Hamayung - Hakurung Dalam,Daha Utara,HSS-KAB-334,Hamayung - Hakurung Dalam,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,100,298,Harapan (SDN Habirau II)/ Sei. Palangan,Daha Selatan,HSS-KAB-298,Harapan (SDN Habirau II)/ Sei. Palangan,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,101,277,Haratai 2 (Balai Ujung Atas) SDN Haratai2,Loksado,HSS-KAB-277,Haratai 2 (Balai Ujung Atas) SDN Haratai2,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,102,276,Haratai 3 (Balai Kedayang) / SDN Haratai 3,Loksado,HSS-KAB-276,Haratai 3 (Balai Kedayang) / SDN Haratai 3,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,103,110,Haritas (PT. Pertani),Sungai Raya,HSS-KAB-110,Haritas (PT. Pertani),EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,104,119,Hariti - Sungai Raya Selatan,Sungai Raya,HSS-KAB-119,Hariti - Sungai Raya Selatan,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,105,273,Hulu Banyu - Datar Mangkung - Tumingki,Loksado,HSS-KAB-273,Hulu Banyu - Datar Mangkung - Tumingki,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,106,268,Hulu Banyu - Pantai Langsat,Loksado,HSS-KAB-268,Hulu Banyu - Pantai Langsat,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,107,099,Ida Manggala - Padang Makmur,"Padang Batung, Sungai Raya",HSS-KAB-099,Ida Manggala - Padang Makmur,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,108,296,Inst. PDAM Negara,Daha Selatan,HSS-KAB-296,Inst. PDAM Negara,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,109,029,Jafri Zamzam,Kandangan,HSS-KAB-029,Jafri Zamzam,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
