road_id,road_key,nomor_ruas,canonical_name,display_name,qgis_source_road_code,qgis_source_name,district_2025,village_source_qgis,historical_source_name,historical_source_record_no,historical_reported_road_no,ml_source_record_id,ml_source_name,identity_status
35edcfd4-2de4-5e10-9eaa-d26d512ba917,HSS-KAB-032,032,Amawang Kanan - Wasah Hulu,Amawang Kanan - Wasah Hulu,032,Jl. Amawang Kanan - Wasah Hulu,Kandangan,DS. Amawang Kanan - Ds. Wasah Hulu,Amawang Kanan - Wasah Hulu,5,032,75,Amawang Kanan - Wasah Hulu,AUTHORITATIVE_V1
225e801a-bc33-57f7-a80b-766426140f31,HSS-KAB-033,033,Jl. DI. Panjaitan - Loklua,DI. Panjaitan - Loklua,033,Jl. DI. Panjaitan - Loklua,Kandangan,Ds. Baluti,DI. Panjaitan - Loklua,66,033,275,DI. Panjaitan - Loklua,AUTHORITATIVE_V1
547c295f-812c-5b92-957f-692ec143c67f,HSS-KAB-034,034,Jl. Jend. Sudirman,Jend. Sudirman,034,Jl. Jend. Sudirman,Kandangan,Ds. Tibung Raya - Ds. Hamalau,Jend. Sudirman,114,034,96,Jend. Sudirman,AUTHORITATIVE_V1
ba4021f1-0ea4-501b-b0ef-2cb4ac3bebd7,HSS-KAB-035,035,Jl. AES Nasution,AES Nasution,035,Jl. AES. Nasution,Kandangan,Ds. Baluti,AES Nasution,1,035,325,AES Nasution,AUTHORITATIVE_V1
3e0cb93e-a89e-5a00-b255-6d6b1a9cd5b3,HSS-KAB-036,036,Tembok Lama - Loklua,Tembok Lama - Loklua,036,Tembok Lama - Loklua,Kandangan,Ds. Jambu Hilir,Tembok Lama - Loklua,333,036,211,Tembok Lama - Loklua,AUTHORITATIVE_V1
cb8698c4-0eb2-51a7-bcc3-224d7ead33e3,HSS-KAB-037,037,Jl. Kesehatan - Komp. Rmh Dokter,Kesehatan - Komp. Rmh Dokter,037,Jl. Kesehatan - Komp. Rumah Dokter,Kandangan,Ds. Baluti,Kesehatan - Komp. Rmh Dokter,141,037,314,Kesehatan - Komp. Rmh Dokter,AUTHORITATIVE_V1
db041740-2aed-5540-8038-03a47fd5e23d,HSS-KAB-038,038,Jl. Samping Bappeda - Mesjid Darul Halik,Samping Bappeda - Mesjid Darul Halik,038,Jl. Samping Bappeda - Mesjid Darul Halik,Kandangan,Ds. Tibung Raya,Samping Bappeda - Mesjid Darul Halik,242,038,340,Samping Bappeda - Mesjid Darul Halik,AUTHORITATIVE_V1
c83fa071-d285-52ae-900d-d89da41d4567,HSS-KAB-039,039,Jl. Bina Bakat,Bina Bakat,039,Jl. Bina Bakat,Kandangan,Ds. Tibung Raya,Bina Bakat,53,039,324,Bina Bakat,AUTHORITATIVE_V1
08ecba0a-2fa8-5a16-a810-2d8bd5b86ad1,HSS-KAB-040,040,Baluti - Jambu Hulu (Paku),Baluti - Jambu Hulu (Paku),040,Baluti - Jambu Hulu/Paku,Kandangan - Padang Batung,Ds. Baluti - Ds. Jambu Hulu,Baluti - Jambu Hulu (Paku),30,040,61,Baluti - Jambu Hulu (Paku),AUTHORITATIVE_V1
6786b7f2-4cc8-5eb4-98c5-12972b1e6d04,HSS-KAB-041,041,Sp. 3 Baluti - Amawang,Sp. 3 Baluti - Amawang,041,SP.3 Baluti - Amawang,Kandangan,Ds. Baluti - Ds. Amawang Kanan,Sp. 3 Baluti - Amawang,268,041,149,Sp. 3 Baluti - Amawang,AUTHORITATIVE_V1
