source_system,source_record_id,source_name,bridge_source,road_key,canonical_display_name,match_method,match_status
dataset_ml_clean,129,Biti - Sungai Kupang (Karya Bakti TNI),historical_normative_workbook.nama_ruas,HSS-KAB-082,Biti - Sungai Kupang (Karya Bakti TNI),EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,291,Brigjen Katamso,historical_normative_workbook.nama_ruas,HSS-KAB-023,Brigjen Katamso,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,225,Bubuih - Ds. Halunuk,historical_normative_workbook.nama_ruas,HSS-KAB-265,Bubuih - Ds. Halunuk,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,83,Bubuih (Ds. Halunuk) - Kandihin,historical_normative_workbook.nama_ruas,HSS-KAB-278,Bubuih (Ds. Halunuk) - Kandihin,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,220,Budi Bakti - Tiga Desember,historical_normative_workbook.nama_ruas,HSS-KAB-028,Budi Bakti - Tiga Desember,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,165,Buluh - Ds. Tebing Tinggi,historical_normative_workbook.nama_ruas,HSS-KAB-229,Buluh - Ds. Tebing Tinggi,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,152,Bumi Berkat - Mungkur Galah,historical_normative_workbook.nama_ruas,HSS-KAB-092,Bumi Berkat - Mungkur Galah,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,181,Buntu Muara Hatib - Bts. Kab. HST,historical_normative_workbook.nama_ruas,HSS-KAB-271,Buntu Muara Hatib - Bts. Kab. HST,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,299,Cangkingan Herman,historical_normative_workbook.nama_ruas,HSS-KAB-331,Cangkingan Herman,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,341,Dahlia,historical_normative_workbook.nama_ruas,HSS-KAB-015,Dahlia,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,45,Datar Belimbing - Muara Kitar,historical_normative_workbook.nama_ruas,HSS-KAB-280,Datar Belimbing - Muara Kitar,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,275,DI. Panjaitan - Loklua,historical_normative_workbook.nama_ruas,HSS-KAB-033,DI. Panjaitan - Loklua,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,250,Ds. Kapuh Tengah (Menuju Majelis Talim),historical_normative_workbook.nama_ruas,HSS-KAB-236,Ds. Kapuh Tengah (Jl. Menuju Majelis Talim),EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,308,Firdaus - Ds. Kapuh,historical_normative_workbook.nama_ruas,HSS-KAB-239,Firdaus - Ds. Kapuh,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,98,Galuntang Tayub - Ds. Madang,historical_normative_workbook.nama_ruas,HSS-KAB-162,Galuntang Tayub - Ds. Madang,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,151,Gambah Dalam - Rantauan,historical_normative_workbook.nama_ruas,HSS-KAB-052,Gambah Dalam - Rantauan,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,124,Gambah Dalam Barat - Mahulung,historical_normative_workbook.nama_ruas,HSS-KAB-076,Gambah Dalam Barat - Mahulung,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,164,Gambah Luar - Gambah Dalam,historical_normative_workbook.nama_ruas,HSS-KAB-053,Gambah Luar - Gambah Dalam,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,206,Gambah Luar - Sungai Kudung,historical_normative_workbook.nama_ruas,HSS-KAB-055,Gambah Luar - Sungai Kudung,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,80,Gambir - Sp. Empat Lungau,historical_normative_workbook.nama_ruas,HSS-KAB-045,Gambir - Sp. Empat Lungau,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,251,Gang Bidan (Ds. Tambak Bitin),historical_normative_workbook.nama_ruas,HSS-KAB-330,Gang Bidan (Ds. Tambak Bitin),EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,180,Garunggang - Hantamangu,historical_normative_workbook.nama_ruas,HSS-KAB-220,Garunggang - Hantamangu,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,259,Gerilya - Ds. Simpur,historical_normative_workbook.nama_ruas,HSS-KAB-232,Gerilya - Ds. Simpur,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,326,Gerilya / (Depan PUSTU Habirau),historical_normative_workbook.nama_ruas,HSS-KAB-297,Gerilya / (Depan PUSTU Habirau),EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,231,Goha - Ds. Amawang Kanan,historical_normative_workbook.nama_ruas,HSS-KAB-344,Goha - Ds. Amawang Kanan,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,39,Gumbil - Masimpan,historical_normative_workbook.nama_ruas,HSS-KAB-196,Gumbil - Masimpan,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,248,Guru H. Izim - Ds. Pantai Ulin,historical_normative_workbook.nama_ruas,HSS-KAB-226,Guru H. Izim - Ds. Pantai Ulin,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,346,H. Jarkasi - Ds. Sungai Paring,historical_normative_workbook.nama_ruas,HSS-KAB-074,H. Jarkasi - Ds. Sungai Paring,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,228,H. Saim Garunggang - Kalimput,historical_normative_workbook.nama_ruas,HSS-KAB-230,H. Saim Garunggang - Kalimput,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,292,H.M. Thaib,historical_normative_workbook.nama_ruas,HSS-KAB-314,H.M. Thaib,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,300,Habib,historical_normative_workbook.nama_ruas,HSS-KAB-294,Habib,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,343,Habib Ibrahim - Ds. Sei Mandala,historical_normative_workbook.nama_ruas,HSS-KAB-319,Habib Ibrahim - Ds. Sei Mandala,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,252,Hakurung Dalam - Ds. Sungai Haji,historical_normative_workbook.nama_ruas,HSS-KAB-337,Hakurung Dalam - Ds. Sungai Haji,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,111,Halaban,historical_normative_workbook.nama_ruas,HSS-KAB-213,Halaban,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,125,Halayung - Hantarukung,historical_normative_workbook.nama_ruas,HSS-KAB-203,Halayung - Hantarukung,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,12,Halunuk - Riam Tajam/Talo - Hamak Umpaya,historical_normative_workbook.nama_ruas,HSS-KAB-266,Halunuk - Riam Tajam/Talo - Hamak Umpaya,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,198,Hamak - Umbai,historical_normative_workbook.nama_ruas,HSS-KAB-198,Hamak - Umbai,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,56,Hamak Timur - Umpaya,historical_normative_workbook.nama_ruas,HSS-KAB-197,Hamak Timur - Umpaya,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,307,Hamak Utara - Samaragi,historical_normative_workbook.nama_ruas,HSS-KAB-199,Hamak Utara - Samaragi,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,204,Hamalau - Anjiran,historical_normative_workbook.nama_ruas,HSS-KAB-086,Hamalau - Anjiran,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,156,Hamalau - Asam Cangkok,historical_normative_workbook.nama_ruas,HSS-KAB-118,Hamalau - Asam Cangkok,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,179,Hamalau - Ganda,historical_normative_workbook.nama_ruas,HSS-KAB-106,Hamalau - Ganda,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,223,Hamalau - Pahampangan,historical_normative_workbook.nama_ruas,HSS-KAB-098,Hamalau - Pahampangan,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,42,Hamalau - Telaga Bidadari - Wasah Hilir,historical_normative_workbook.nama_ruas,HSS-KAB-102,Hamalau - Telaga Bidadari - Wasah Hilir,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,59,Hamayung - Hakurung Dalam,historical_normative_workbook.nama_ruas,HSS-KAB-334,Hamayung - Hakurung Dalam,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,334,Harapan (SDN Habirau II)/ Sei. Palangan,historical_normative_workbook.nama_ruas,HSS-KAB-298,Harapan (SDN Habirau II)/ Sei. Palangan,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,92,Haratai 2 (Balai Ujung Atas) SDN Haratai2,historical_normative_workbook.nama_ruas,HSS-KAB-277,Haratai 2 (Balai Ujung Atas) SDN Haratai2,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,36,Haratai 3 (Balai Kedayang) / SDN Haratai 3,historical_normative_workbook.nama_ruas,HSS-KAB-276,Haratai 3 (Balai Kedayang) / SDN Haratai 3,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,245,Haritas (PT. Pertani),historical_normative_workbook.nama_ruas,HSS-KAB-110,Haritas (PT. Pertani),EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,93,Hariti - Sungai Raya Selatan,historical_normative_workbook.nama_ruas,HSS-KAB-119,Hariti - Sungai Raya Selatan,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
