road_key,canonical_display_name,alias_name,source_system,alias_role
HSS-KAB-048,Sungai Paring - Sei Hanyar Pantai Ulin,Sungai Paring - Sei Hanyar Pantai Ulin,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-049,Kandangan Hulu - Sp. Tabihi,Kandangan Hulu - Sp. Tabihi,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-049,Kandangan Hulu - Sp. Tabihi,Kandangan Hulu - SP. Tabihi,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-050,Banyu Barau - Sei Kalang,Banyu Barau - Sei Kalang,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-050,Banyu Barau - Sei Kalang,Banyu Barau - Sungai Kalang,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-051,Tibung Raya - Asam Cangkuk,Tibung Raya - Asam Cangkuk,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-051,Tibung Raya - Asam Cangkuk,Tibung Raya - Asam Cangkok,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-052,Gambah Dalam - Rantauan,Gambah Dalam - Rantauan,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-053,Gambah Luar - Gambah Dalam,Gambah Luar - Gambah Dalam,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-054,Pegangsaan Timur - Teluk Aman,Pegangsaan Timur - Teluk Aman,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-055,Gambah Luar - Sungai Kudung,Gambah Luar - Sungai Kudung,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-056,Bakarung Tengah - Karang Jawa,Bakarung Tengah - Karang Jawa,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-057,Papagaran/Palangsatan,Jl. Papagaran/Palangsatan,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-057,Papagaran/Palangsatan,Jl. Papagaran/Pelangsatan,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-058,Tembok Kacil. Sei. Kudung,Jl. Tembok Kacil. Sei. Kudung,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-059,Mesjid Quba,Jl. Mesjid Quba,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-059,Mesjid Quba,Jl. Mesjid Kuba,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-060,Sungai Karuh,Jl. Sungai Karuh,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-060,Sungai Karuh,Jl. Sungai Karuh Tembus Tawar,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-061,Rambai - Bariang,Rambai - Bariang,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-061,Rambai - Bariang,Jl. Rambai - Bariang,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-062,Jangkang - Pantai Ulin,Jangkang - Pantai Ulin,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-062,Jangkang - Pantai Ulin,Jl. Jangkang - Pantai Ulin,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-063,Padang Palas,Jl. Padang Palas,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-064,Tibung Dalam - Teratai,Tibung Dalam - Teratai,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-065,Kalaka Indah - Perumnas Tibung,Jl. Kalaka Indah - Perumnas Tibung,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-066,Teratai Menuju Komplek Perumnas Hamalau,Jl. Teratai Menuju Komplek Perumnas Hamalau,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-067,Teluk Pinang - Baluti,Teluk Pinang - Baluti,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-068,Tibung Raya - Hamalau Dalam,Tibung Raya - Hamalau Dalam,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-069,Baiturrahim Parincahan,Jl. Baiturrahim Parincahan,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-069,Baiturrahim Parincahan,Jl. Baiturrahim,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-070,Newangsekarti - Ds. Gambah Luar Muka,Jl. Newangsekarti - Ds. Gambah Luar Muka,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-071,Tembok Baru (Asam Cangkok),Jl. Tembok Baru (Asam Cangkok),dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-071,Tembok Baru (Asam Cangkok),Jl. Tembok Baru (Asam Cangkok,qgis_county_roads,IMPORT_SEARCH_ONLY
