source_ml_road_id,source_name,norm_panjang_ruas,norm_lebar_ruas,norm_kondisi_sedang,norm_rusak_ringan,norm_rusak_berat,norm_permukaan_aspal_penmac,norm_permukaan_beton,norm_penduduk_dilayani,norm_desa_dilalui,norm_kecamatan_dilalui,norm_koneksi_jalan_provinsi,norm_koneksi_jalan_nasional,norm_jarak_rsud_cost,norm_jarak_puskesmas_cost,norm_jarak_sd_smp_cost,norm_jarak_pasar_cost,norm_jarak_ibukota_kabupaten_cost,label_top105
47,Muara Pipii - Tambak Pipii,0.26920821114369503,0.0,0.0,0.04301075268817204,0.9569892473118279,0.08998874307306692,0.13498311611058547,0.04121983914209115,0.0,0.0,0.0,0.0,0.41316793673118835,0.08925425166062084,0.9953819224609884,0.9340709067225463,0.46361745030886914,0
269,Munggu Raya - Ds. Hariti,0.02346041055718475,0.0,0.0,0.0,0.0,0.9999999278778922,0.0,0.00871313672922252,0.0,0.0,0.0,1.0,0.8491209462653186,0.9014980920525746,0.8869439996027461,0.9919388910913519,0.8293100321138602,0
229,Mungkur Galah - Lokpaikat,0.038123167155425214,0.0,0.2816901408450704,0.7183098591549296,0.0,0.9999999762405072,0.0,0.013516532618409294,0.0,0.0,0.0,0.0,0.7174092989474412,0.7570876713619447,0.9464576117587179,0.9854856430877272,0.7074181950090154,0
35,Muning Tengah - Batang Alai (Pihanin Raya),0.30498533724340177,0.0,0.0,0.0,1.0,0.0,0.0,0.15315013404825736,0.125,0.0,1.0,0.0,0.8539514185909778,0.8744287935176898,0.7003215274415602,0.9908305487908479,0.8239200247522112,0
1,Muning Tengah - Ds. Muning Dalam,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06300268096514745,0.125,0.0,1.0,0.0,0.8539514185909778,0.8744287935176898,0.0,0.9908305487908479,0.8239200247522112,0
277,Musyawarah (Kandangan),0.020527859237536656,0.045454545454545456,1.0,0.0,0.0,0.9999999547410654,0.0,0.5501563896336015,0.125,0.0,0.0,1.0,0.9453084469858545,0.953874782117115,0.9843208819038397,0.9975397859205981,0.3970702770753982,1
302,Musyawarah (Nagara),0.015249266862170088,0.2727272727272727,0.0,0.0,0.0,0.9999999683701756,0.0,0.08768990169794459,0.0,0.0,0.0,0.0,0.957136763468256,0.9610543176143591,0.9728625873648405,0.997882709407034,0.9937500666816034,0
258,Negara - Tumbukan Banyu,0.02756598240469208,0.18181818181818182,0.0,0.0,0.0,1.0,0.0,0.1577301161751564,0.125,0.0,1.0,0.0,0.9728502092436103,0.9700711358175909,0.9535709408712276,1.0,0.41161433494436084,0
312,Newangsekarti - Ds. Gambah Luar Muka,0.01348973607038123,0.0,0.0,0.0,0.0,0.9999999747930903,0.0,0.07115728328865058,0.0,0.0,0.0,1.0,0.8902963996264742,0.9308286616102134,0.977418593969188,0.9914889279039475,0.9428394627063129,0
118,Niagara (Ds. Halunuk) - Ayan,0.11730205278592375,0.045454545454545456,0.5339805825242717,0.3883495145631068,0.07766990291262131,0.9135922090693495,0.0,0.018431635388739945,0.0,0.0,0.0,1.0,0.637573926978015,0.5521364300183729,0.5641875535361811,0.9616310811576145,0.6712927695803861,0
278,Nomura,0.020527859237536656,0.0,1.0,0.0,0.0,0.9999999547410654,0.0,0.5474754244861484,0.125,0.0,0.0,0.0,0.9330835475726589,0.9540349554812267,0.937482154606284,0.995326216231523,0.9674785818690054,1
287,Nusa Indah,0.0187683284457478,0.18181818181818182,0.4736842105263158,0.0,0.0,0.9999999585667803,0.0,0.11215370866845398,0.0,0.0,0.0,0.0,0.9367842196884979,0.9538182503415461,0.9519819249438258,0.9983261595967605,0.9858613662793799,0
6,Padang Batung - Batulaki - Malilingin,0.5173020527859238,0.045454545454545456,0.3693693693693693,0.3603603603603604,0.2702702702702704,0.9999999331309452,0.0,0.19269436997319034,0.5,0.0,0.0,1.0,0.7553728917121084,0.7884345409148725,0.9639119585862724,0.9760984312170811,0.7803070554470868,1
174,Padang Haur - Ds. Wasah Tengah,0.0686217008797654,0.0,0.18699186991869918,0.6504065040650407,0.16260162601626021,0.9999999305115366,0.0,0.11751563896336015,0.125,0.0,0.0,1.0,0.8809536436056766,0.9539690017430631,0.8709296984593994,0.9938882596137509,0.8846141535703997,1
236,Padang Palas,0.03636363636363637,0.0,1.0,0.0,0.0,0.9999999354999689,0.0,0.07238605898123325,0.0,0.0,0.0,0.0,0.8545601272754522,0.8017807509304188,0.9402753466661701,0.9848955088633403,0.8984711241984872,0
106,Padang Rasau (Tambak Tamiang) - Paku Pantai,0.12727272727272726,0.0,0.8206278026905829,0.1793721973094171,0.0,0.9999999374653024,0.0,0.19995531724754245,0.125,0.5,0.0,0.0,0.9014283902652724,0.8207047628020917,0.9901679639492011,0.9878022880444016,0.906790854484738,1
333,Pagar  Haur - Malutu,0.0093841642228739,0.18181818181818182,0.0,0.0,1.0,0.0,0.0,0.02625111706881144,0.0,0.0,0.0,0.0,0.7490022019575517,0.775422810571442,0.9296239742778046,0.9753160219742878,0.7744134686169701,0
74,Pagat Batu - Muara Hariang,0.18826979472140762,0.045454545454545456,0.7553516819571865,0.1223241590214067,0.1223241590214067,0.9082568370025614,0.0,0.06490169794459338,0.0,0.0,0.0,1.0,0.7558294232254643,0.7937485278183445,0.7815227241691806,0.9761544996318741,0.780729550085886,0
202,Paharuangan - Asam Dua,0.0498533724340176,0.045454545454545456,0.2197802197802198,0.0,0.7802197802197801,0.2054944884792746,0.0,0.05026809651474531,0.0,0.0,0.0,0.0,0.850806423721193,0.9000141329438922,0.700619467927948,0.9860347171093617,0.8308677143680184,0
123,Paharuangan - Sei. Raya Selatan,0.11143695014662755,0.045454545454545456,0.0,0.0,0.0,0.9999999265556951,0.0,0.05026809651474531,0.0,0.0,0.0,0.0,0.8661278979951811,0.9313233146464408,0.7404938363561879,0.9869439882199694,0.8450490243147799,0
296,Pajah Api - Ds. Kapuh,0.016422287390029325,0.0,0.0,0.0,0.0,0.0,0.0,0.12388293118856121,0.125,0.0,0.0,0.0,0.9246746060109983,0.847010882366797,0.8965153377279556,0.9905482245001982,0.9050603335147073,0
130,Pakan Dalam - Kaminting Batu,0.1032258064516129,0.045454545454545456,0.2307692307692308,0.4395604395604396,0.32967032967032955,0.7692307055373915,0.23076921422732466,0.4941912421805183,0.5,0.5,0.0,0.0,0.936412999619557,0.9554812267395298,0.947525231834941,0.9955250042476071,0.37789371485879497,1
303,Pakan Dalam I,0.015249266862170088,0.045454545454545456,0.375,0.0,0.0,0.9999999683701756,0.0,0.04479445933869526,0.0,0.0,0.0,0.0,0.9409552576059764,0.9647618598954162,0.9892741424900376,0.9960828566574164,0.38209732313371525,0
313,Pakan Dalam II,0.01348973607038123,0.045454545454545456,0.0,0.0,0.0,0.9999999747930903,0.0,0.06579535299374442,0.0,0.0,0.0,0.0,0.9339597191639478,0.9504687426390918,0.9780268891288965,0.9952237073115479,0.3756233396280766,0
315,Pakan Dalam III,0.012903225806451615,0.045454545454545456,0.0,0.0,0.0,0.9999999417609606,0.0,0.06579535299374442,0.0,0.0,0.0,0.0,0.9270956064606126,0.9364441513167193,0.9750350700780852,0.9943806988729682,0.36927098336694075,0
127,Paku (Jambu Hulu) - Ganda,0.10674486803519061,0.0,0.46808510638297884,0.5319148936170212,0.0,0.9999999485548028,0.0,0.19995531724754245,0.125,0.5,0.0,1.0,0.9352624479773117,0.87392000753757,0.8276662569984978,0.9919578637367616,0.9381024016046261,1
167,Palajau - Ds. Baluti,0.07155425219941348,0.0,0.0,0.0,0.84375,0.0,0.5312499891040489,0.28351206434316356,0.375,1.0,0.0,0.0,0.9343078820857496,0.8019362133132332,0.9084205429965364,0.9885195673104151,0.9121957985255364,1
214,Palas - Ds. Wasah Tengah,0.04516129032258064,0.0,0.0,0.0,1.0,0.0,0.0,0.12388293118856121,0.125,0.0,0.0,1.0,0.8894617309000358,0.9252838366231686,0.8882847317914914,0.9950076456929263,0.8768854890162063,0
15,Pandak Daun - Baruh Jaya - Samuda,0.42639296187683284,0.045454545454545456,0.8731241473396999,0.045020463847203276,0.027285129604365622,0.9999999564268854,0.0,1.0,1.0,0.5,0.0,0.0,0.955359057423825,0.9861073161539549,0.9809566372450437,0.9978518434615167,0.3954272423689573,1
139,Pandak Daun (Buntut Muradiyah) - Pakan Dalam,0.09325513196480938,0.045454545454545456,0.0,0.0,1.0,0.0,0.0,0.17951295799821268,0.25,0.0,0.0,0.0,0.9039370078740158,0.889127055165591,0.9347262051071965,0.9915362179305658,0.3478368487874617,0
271,Pandan Sari - Ds. Angkinang,0.02228739002932551,0.0,0.0,0.0,0.0,0.9999999514370386,0.0,0.0694816800714924,0.0,0.0,0.0,1.0,0.7598621182601077,0.9956847411315777,0.9830422206497585,0.9980259953559495,0.8221297570655827,0
188,Pandulangan - Kalinduku,0.05923753665689149,0.0,0.06542056074766356,0.9345794392523366,0.0,0.9999998969977975,0.0,0.10857908847184987,0.125,0.5,0.0,0.0,0.7683263969749022,0.7739906722570311,0.8857398234702618,0.986240018123124,0.8299629783738225,1
253,Pangeran Antasari - Loklua,0.029325513196480937,0.2727272727272727,1.0,0.0,0.0,0.9999999417609606,0.0,0.49463806970509383,0.125,0.0,0.0,1.0,0.9590412838219528,0.9682102982051162,0.93913324146835,1.0,0.9987047765366108,1
68,Panggang Hijau - Ds. Tawar,0.21173020527859235,0.0,0.0,0.0,1.0,0.0,0.0,0.21916890080428955,0.125,0.5,1.0,0.0,0.8539514185909778,0.8744287935176898,0.9108971732896354,0.9908305487908479,0.8239200247522112,1
