road_key,source_system,source_name
HSS-KAB-055,display,Gambah Luar - Sungai Kudung
HSS-KAB-056,dashboard_2025,Bakarung Tengah - Karang Jawa
HSS-KAB-056,qgis_county_roads,Bakarung Tengah - Karang Jawa
HSS-KAB-056,display,Bakarung Tengah - Karang Jawa
HSS-KAB-057,dashboard_2025,Jl. Papagaran/Palangsatan
HSS-KAB-057,qgis_county_roads,Jl. Papagaran/Pelangsatan
HSS-KAB-057,display,Papagaran/Palangsatan
HSS-KAB-058,dashboard_2025,Jl. Tembok Kacil. Sei. Kudung
HSS-KAB-058,qgis_county_roads,Jl. Tembok Kacil. Sei. Kudung
HSS-KAB-058,display,Tembok Kacil. Sei. Kudung
HSS-KAB-059,dashboard_2025,Jl. Mesjid Quba
HSS-KAB-059,qgis_county_roads,Jl. Mesjid Kuba
HSS-KAB-059,display,Mesjid Quba
HSS-KAB-060,dashboard_2025,Jl. Sungai Karuh
HSS-KAB-060,qgis_county_roads,Jl. Sungai Karuh Tembus Tawar
HSS-KAB-060,display,Sungai Karuh
HSS-KAB-061,dashboard_2025,Rambai - Bariang
HSS-KAB-061,qgis_county_roads,Jl. Rambai - Bariang
HSS-KAB-061,display,Rambai - Bariang
HSS-KAB-062,dashboard_2025,Jangkang - Pantai Ulin
HSS-KAB-062,qgis_county_roads,Jl. Jangkang - Pantai Ulin
HSS-KAB-062,display,Jangkang - Pantai Ulin
HSS-KAB-063,dashboard_2025,Jl. Padang Palas
HSS-KAB-063,qgis_county_roads,Jl. Padang Palas
HSS-KAB-063,display,Padang Palas
HSS-KAB-064,dashboard_2025,Tibung Dalam - Teratai
HSS-KAB-064,qgis_county_roads,Tibung Dalam - Teratai
HSS-KAB-064,display,Tibung Dalam - Teratai
HSS-KAB-065,dashboard_2025,Jl. Kalaka Indah - Perumnas Tibung
HSS-KAB-065,qgis_county_roads,Jl. Kalaka Indah - Perumnas Tibung
HSS-KAB-065,display,Kalaka Indah - Perumnas Tibung
HSS-KAB-066,dashboard_2025,Jl. Teratai Menuju Komplek Perumnas Hamalau
HSS-KAB-066,qgis_county_roads,Jl. Teratai Menuju Komplek Perumnas Hamalau
HSS-KAB-066,display,Teratai Menuju Komplek Perumnas Hamalau
HSS-KAB-067,dashboard_2025,Teluk Pinang - Baluti
HSS-KAB-067,qgis_county_roads,Teluk Pinang - Baluti
HSS-KAB-067,display,Teluk Pinang - Baluti
HSS-KAB-068,dashboard_2025,Tibung Raya - Hamalau Dalam
HSS-KAB-068,qgis_county_roads,Tibung Raya - Hamalau Dalam
HSS-KAB-068,display,Tibung Raya - Hamalau Dalam
HSS-KAB-069,dashboard_2025,Jl. Baiturrahim Parincahan
HSS-KAB-069,qgis_county_roads,Jl. Baiturrahim
HSS-KAB-069,display,Baiturrahim Parincahan
HSS-KAB-070,dashboard_2025,Jl. Newangsekarti - Ds. Gambah Luar Muka
HSS-KAB-070,qgis_county_roads,Jl. Newangsekarti - Ds. Gambah Luar Muka
HSS-KAB-070,display,Newangsekarti - Ds. Gambah Luar Muka
HSS-KAB-071,dashboard_2025,Jl. Tembok Baru (Asam Cangkok)
HSS-KAB-071,qgis_county_roads,Jl. Tembok Baru (Asam Cangkok
HSS-KAB-071,display,Tembok Baru (Asam Cangkok)
HSS-KAB-072,dashboard_2025,Sungai Paring - Toba
HSS-KAB-072,qgis_county_roads,Sungai Paring - Toba
HSS-KAB-072,display,Sungai Paring - Toba
HSS-KAB-073,dashboard_2025,Jl. Tembok Baru - Ds. Baluti
HSS-KAB-073,qgis_county_roads,Jl. Tembok Baru - Baluti
HSS-KAB-073,display,Tembok Baru - Ds. Baluti
HSS-KAB-074,dashboard_2025,Jl. H. Jarkasi - Ds. Sungai Paring
HSS-KAB-074,qgis_county_roads,Jl. H. Jarkasi
HSS-KAB-074,display,H. Jarkasi - Ds. Sungai Paring
HSS-KAB-075,dashboard_2025,Bariang - Patigan
HSS-KAB-075,qgis_county_roads,Jl. Bariang - Patigan
HSS-KAB-075,display,Bariang - Patigan
HSS-KAB-076,dashboard_2025,Gambah Dalam Barat - Mahulung
HSS-KAB-076,qgis_county_roads,Gambah Dalam Barat - Mahulung
HSS-KAB-076,display,Gambah Dalam Barat - Mahulung
HSS-KAB-077,dashboard_2025,Jl. Suriangpati - Gambah Dalam Barat
HSS-KAB-077,qgis_county_roads,Jl. Suriangpati
HSS-KAB-077,display,Suriangpati - Gambah Dalam Barat
HSS-KAB-078,dashboard_2025,Jl. Menuju SMP 7 - Ds. Gambah Dalam
HSS-KAB-078,qgis_county_roads,Jl. Menuju SMP 7 - Ds. Gambah Dalam
HSS-KAB-078,display,Menuju SMP 7 - Ds. Gambah Dalam
HSS-KAB-079,dashboard_2025,Telaga Banta - Patigan
HSS-KAB-079,qgis_county_roads,Jl. Telaga Banta - Patigan
HSS-KAB-079,display,Telaga Banta - Patigan
HSS-KAB-080,dashboard_2025,Jl. Nomura
HSS-KAB-080,qgis_county_roads,Jl. Nomura
HSS-KAB-080,display,Nomura
HSS-KAB-081,dashboard_2025,Jl. Lorong Bupati
HSS-KAB-081,qgis_county_roads,Jl. Lorong Bupati
HSS-KAB-081,display,Lorong Bupati
HSS-KAB-082,dashboard_2025,Jl. Biti - Sungai Kupang (Karya Bakti TNI)
HSS-KAB-082,qgis_county_roads,Jl. Biti - Sungai Kupang (Karya Bakti TNI)
HSS-KAB-082,display,Biti - Sungai Kupang (Karya Bakti TNI)
HSS-KAB-083,dashboard_2025,Jl. Palajau - Ds. Baluti
HSS-KAB-083,qgis_county_roads,Jl. Palajau - Ds. Baluti
HSS-KAB-083,display,Palajau - Ds. Baluti
HSS-KAB-084,dashboard_2025,Jl. RS. Hasan Basry II
HSS-KAB-084,qgis_county_roads,Jl. RS. Hasan Basry II
HSS-KAB-084,display,RS. Hasan Basry II
HSS-KAB-085,dashboard_2025,Tajun - Sp.3 Muara Paring Agung
HSS-KAB-085,qgis_county_roads,Tajun - SP.3 Muara Paring Agung
HSS-KAB-085,display,Tajun - Sp.3 Muara Paring Agung
HSS-KAB-086,dashboard_2025,Hamalau - Anjiran
HSS-KAB-086,qgis_county_roads,Hamalau - Anjiran
HSS-KAB-086,display,Hamalau - Anjiran
HSS-KAB-087,dashboard_2025,Tanjungan - Sp. 10 Batang Kulur - Sungai Kali
HSS-KAB-087,qgis_county_roads,Tanjungan - SP.10 Batang Kulur - Sungai Kali
HSS-KAB-087,display,Tanjungan - Sp. 10 Batang Kulur - Sungai Kali
HSS-KAB-088,dashboard_2025,Sungai Raya Selatan - Sarang Halang
HSS-KAB-088,qgis_county_roads,Sungai Raya Selatan - Sarang Halang
HSS-KAB-088,display,Sungai Raya Selatan - Sarang Halang
HSS-KAB-089,dashboard_2025,Sp. Batang Kulur Kiri - Tatas
HSS-KAB-089,qgis_county_roads,SP. Batang Kulur Kiri - Tatas
HSS-KAB-089,display,Sp. Batang Kulur Kiri - Tatas
HSS-KAB-090,dashboard_2025,Taal Batang Kulur - Sp. 3 Muara Prg Agung
HSS-KAB-090,qgis_county_roads,Taal Batang Kulur - SP.3 Muara Paring Agung
HSS-KAB-090,display,Taal Batang Kulur - Sp. 3 Muara Prg Agung
HSS-KAB-091,dashboard_2025,Batang Kulur Kanan - Sarangan
HSS-KAB-091,qgis_county_roads,Batang Kulur Kanan - Sarangan
HSS-KAB-091,display,Batang Kulur Kanan - Sarangan
HSS-KAB-092,dashboard_2025,Bumi Berkat - Mungkur Galah
HSS-KAB-092,qgis_county_roads,Bumi Berkat - Mungkur Galah
HSS-KAB-092,display,Bumi Berkat - Mungkur Galah
HSS-KAB-093,dashboard_2025,Taal Jarau - Sp. Baru/Tampang
HSS-KAB-093,qgis_county_roads,Taal Jarau - SP. Baru/Tampang
HSS-KAB-093,display,Taal Jarau - Sp. Baru/Tampang
HSS-KAB-094,dashboard_2025,Sungai Raya - Jambu Hulu/Paku
HSS-KAB-094,qgis_county_roads,Sungai Raya - Jambu Hulu/Paku
HSS-KAB-094,display,Sungai Raya - Jambu Hulu/Paku
HSS-KAB-095,dashboard_2025,Sungai Raya Selatan - Malutu - Goa Berangin
HSS-KAB-095,qgis_county_roads,Sungai Raya Selatan - Malutu - Goa Berangin
HSS-KAB-095,display,Sungai Raya Selatan - Malutu - Goa Berangin
HSS-KAB-096,dashboard_2025,Sp. 4 Baru/Tampang - Sp. Bilui Pamujaan
HSS-KAB-096,qgis_county_roads,SP.4 Baru/Tampang - SP. Biluy Pamujaan
HSS-KAB-096,display,Sp. 4 Baru/Tampang - Sp. Bilui Pamujaan
HSS-KAB-097,dashboard_2025,Asam Cangkuk - Telaga Bidadari
HSS-KAB-097,qgis_county_roads,Asam Cangkuk - Telaga Bidadari
HSS-KAB-097,display,Asam Cangkuk - Telaga Bidadari
HSS-KAB-098,dashboard_2025,Hamalau - Pahampangan
HSS-KAB-098,qgis_county_roads,Hamalau - Pahampangan
HSS-KAB-098,display,Hamalau - Pahampangan
HSS-KAB-099,dashboard_2025,Ida Manggala - Padang Makmur
HSS-KAB-099,qgis_county_roads,Ida Manggala - Padang Makmur
HSS-KAB-099,display,Ida Manggala - Padang Makmur
HSS-KAB-100,dashboard_2025,Simpang Hamalau - Teluk Pinang
HSS-KAB-100,qgis_county_roads,Simpang Hamalau - Teluk Pinang
HSS-KAB-100,display,Simpang Hamalau - Teluk Pinang
HSS-KAB-101,dashboard_2025,Teluk Pinang - Pahampangan Utara
HSS-KAB-101,qgis_county_roads,Teluk Pinang - Pahampangan Utara
HSS-KAB-101,display,Teluk Pinang - Pahampangan Utara
HSS-KAB-102,dashboard_2025,Hamalau - Telaga Bidadari - Wasah Hilir
HSS-KAB-102,qgis_county_roads,Hamalau - Telaga Bidadari - Wasah Hilir
HSS-KAB-102,display,Hamalau - Telaga Bidadari - Wasah Hilir
HSS-KAB-103,dashboard_2025,Karasikan - Sarang Halang
HSS-KAB-103,qgis_county_roads,Karasikan - Sarang Halang
HSS-KAB-103,display,Karasikan - Sarang Halang
HSS-KAB-104,dashboard_2025,Tanjungan - Sp. 3 Sakijang
HSS-KAB-104,qgis_county_roads,Tanjungan - SP.3 Sakijang
HSS-KAB-104,display,Tanjungan - Sp. 3 Sakijang
HSS-KAB-105,dashboard_2025,Sarang Halang Padang - Sp. Batang Kulur
HSS-KAB-105,qgis_county_roads,Sarang Halang Padang - SP Batang Kulur
HSS-KAB-105,display,Sarang Halang Padang - Sp. Batang Kulur
HSS-KAB-106,dashboard_2025,Hamalau - Ganda
