no,nama_ruas,nama_ruas_norm,desa_yang_dilalui,kecamatan_yang_dilalui,jumlah_desa_yang_dilalui,jumlah_kecamatan_yang_dilalui,jumlah_penduduk_dilayani,terhubung_ruas_provinsi,terhubung_ruas_nasional,jarak_pasar_m,jarak_puskesmas_m,jarak_rsud_m,jarak_sd_smp_m,jarak_ibukota_m,akses_terputus_ibukota,akses_terputus_pasar,akses_terputus_puskesmas,akses_terputus_rsud,akses_terputus_sd_smp,prior_handled_any_pre2024,prior_handled_count_pre2024,prior_handled_last_year_pre2024,years_since_last_handled_pre2024,prior_handled_any_pre2025,prior_handled_count_pre2025,prior_handled_last_year_pre2025,years_since_last_handled_pre2025,prior_handled_any_pre2026,prior_handled_count_pre2026,prior_handled_last_year_pre2026,years_since_last_handled_pre2026,handled_any_2021,handled_any_2022,handled_any_2023,handled_any_2024,handled_any_2025,handled_pl_2021,handled_pl_2022,handled_pl_2023,handled_pl_2024,handled_pl_2025,handled_tender_2021,handled_tender_2022,handled_tender_2023,handled_tender_2024,handled_tender_2025,planned_any_2026,planned_any_2027,planned_pl_2026,planned_pl_2027,planned_tender_2026,planned_tender_2027,source_ml_road_id
123,Kalumpang (Ds. Balanti) - Teratai,kalumpang desa balanti – teratai,"Kalumpang, Sirih",Kalumpang,2,1,716,0,0,5758,3364.1,16271.6,3221.9,17651.2,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,248
124,Kalumpang Selatan - Ds. Asam Tamiyang,kalumpang selatan – desa asam tamiyang,"Balanti, Kalumpang",Kalumpang,2,1,570,0,0,6068.8,5264.4,12201.7,1096,13600.3,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255
125,Kamboja,kamboja,"Asam, Tamiyang",Sungai Raya,2,1,797,0,0,1683.8,112.4,3382.1,85,1519.2,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,014
126,Kaminting Batu,kaminting batu,Kandangan Utara,Kandangan,1,1,1142,0,0,2008.7,1250.2,3227.5,0,29840.7,0,0,0,0,0,1,1,2021,3,1,1,2021,4,1,1,2021,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,333
127,Kampung Kawat,kampung kawat,Pakapuran Kecil,Daha Utara,1,1,925,0,0,1881.5,1417.9,3100.4,215,29713.5,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,332
128,Kandangan Hulu - Sp. Tabihi,kandangan hulu – sp tabihi,"Kandangan Kota, Karang Jawa Muka, Tabihi","Kandangan, Padang Batung",3,2,4379,0,1,1075.3,1905.9,3266.5,952,1533,0,0,0,0,0,1,2,2023,1,1,3,2024,1,1,3,2024,2,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,049
129,Kantor Camat Daha Selatan II,kantor camat daha selatan ii,Tumbukan Banyu,Daha Selatan,1,1,923,1,0,988.6,1168.8,1546.7,496.2,28159.8,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307
130,Kantor Camat Loksado II,kantor camat loksado ii,Loksado,Loksado,1,1,346,0,0,33609.8,408.9,35820.2,333.5,35722.5,0,0,0,0,0,0,0,,,0,0,,,1,1,2025,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,270
131,Karampaci - Ds. Kapuh,karampaci – desa kapuh,"Kapuh, Wasah Tengah",Simpur,2,1,1247,0,0,2374.3,2616.4,3485.1,485.4,4883.7,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237
132,Karang Intan - Tanah Bangkang,karang intan – tanah bangkang,"Sungai Raya Selatan, Tanah Bangkang",Sungai Raya,2,1,1083,0,1,3995.5,586.7,4976.4,1315.3,6648.2,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
133,Karang Jawa -Ambarai - Sungai Bungur,karang jawa – ambarai – sei bungur,"Karang Jawa, Karang Jawa Muka, Madang, Pandulangan",Padang Batung,4,1,2294,0,0,1919.7,2759.4,6664.3,812.9,5063,0,0,0,0,0,1,3,2023,1,1,4,2024,1,1,4,2024,2,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,138
134,Karasikan - Sarang Halang,karasikan – sarang halang,"Karasikan, Sarang Halang, Telaga Bidadari",Sungai Raya,3,1,1457,0,1,4210.3,3585.8,2583.6,961.6,4255.4,0,0,0,0,0,1,2,2023,1,1,2,2023,2,1,2,2023,3,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,103
135,Karya Bakti - Ds. Balimau,karya bakti – desa balimau,Balimau,Kalumpang,1,1,310,0,0,7572.6,5178.7,18086.2,716.1,19465.7,0,0,0,0,0,0,0,,,0,0,,,1,1,2025,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,257
136,Kayu Abang - Ds. Anjiran,kayu abang – desa anjiran,"Bamban, Kayu Abang",Angkinang,2,1,1286,0,0,3487.3,2758.9,11780.9,1002.5,9918,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185
137,Kayu Abang - Paya,kayu abang – paya,Kayu Abang,Angkinang,1,1,787,0,0,2912,3645.1,11001.8,714.4,9138.9,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
138,Kenanga,kenanga,Kandangan Utara,Kandangan,1,1,1142,0,0,781.6,796.9,2773.5,196.3,910.6,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,012
139,Kenanga - Ds. Baruh Kambang,kenanga – desa baruh kambang,Baruh Kembang,Daha Utara,1,1,870,1,0,1729.3,1490.7,2948.2,0,29561.3,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315
140,Keramat Sakti - Ds. Tebing Tinggi,keramat sakti – desa tebing tinggi,Tebing Tinggi,Simpur,1,1,404,0,1,2008.8,2598.1,9226.6,816.8,10606.1,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,350
141,Kesehatan - Komp. Rmh Dokter,kesehatan – komp rmh dokter,"Baluti, Tibung Raya",Kandangan,2,1,2315,0,1,815.5,1226.2,1738.6,437.7,497.1,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,037
142,KH. Ramli - DS. Amparaya,kh ramli – desa amparaya,Amparaya,Simpur,1,1,590,0,0,2561.3,3131.7,8317.7,895.7,8598.2,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,221
143,Kolonel Sugiono,kolonel sugiono,Kandangan Barat,Kandangan,1,1,1874,0,0,1289.5,1832.6,2664.3,61.8,971.2,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,024
144,KS. Tubun,ks tubun,"Kandangan Barat, Kandangan Utara",Kandangan,2,1,3016,0,1,1258.6,1191.3,3413.4,625.1,1550.5,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,016
145,Lambuk - Ds. Tumingki,lambuk – desa tumingki,Tumingki,Loksado,1,1,238,0,0,31022.2,6215.7,33232.6,1002.3,33135,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,274
146,Loklahung - Kamawakan,loklahung – kamawakan,"Kamawakan, Lok Lahung, Tumingki",Loksado,3,1,521,0,0,37536.6,5049.7,39747,636.3,39649.4,0,0,0,0,0,1,2,2023,1,1,3,2024,1,1,4,2025,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,261
147,Loklahung - Malaris,loklahung – malaris,Lok Lahung,Loksado,1,1,138,0,0,35235,2018.5,37445.4,413.6,37347.8,0,0,0,0,0,1,1,2023,1,1,2,2024,1,1,2,2024,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,264
148,Loksado - Haratai,loksado – haratai,"Haratai, Loksado",Loksado,2,1,581,1,0,37205.7,3298.1,39416.1,2401.2,39318.4,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,260
149,Loksado - Loklahung,loksado – loklahung,"Lok Lahung, Loksado",Loksado,2,1,484,1,0,34216.6,1000,36427,307.1,36329.4,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,259
150,Loksado - Pantai Dusin,loksado – pantai dusin,"Loksado, Tumingki",Loksado,2,1,584,1,0,34399.4,1719.1,36609.8,1643.7,36512.2,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286
151,Longawang - Gumbil,longawang – gumbil,"Gumbil, Longawang",Telaga Langsat,2,1,912,0,0,6121.3,3023,15880.5,292,14017.6,0,0,0,0,0,1,1,2023,1,1,2,2024,1,1,3,2025,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,194
152,Lorong Bupati,lorong bupati,Kandangan Kota,Kandangan,1,1,3189,0,0,575.9,1149.1,2120.5,0,257.6,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,081
153,Madang - Ambutun,madang – ambutun,"Ambutun, Madang","Padang Batung, Telaga Langsat",2,2,700,0,0,4661.4,4844.4,9406.1,1615.3,7804.8,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,152
154,Makam Habib - Desa Lumpangi,makam habib – desa lumpangi,Lumpangi,Loksado,1,1,385,1,1,21094.2,8100.1,23304.6,219.7,23207,0,0,0,0,0,1,1,2021,3,1,1,2021,4,1,1,2021,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279
155,Malaris - Loapanggang,malaris – loapanggang,Lok Lahung,Loksado,1,1,138,0,0,790352350,79020185,37445.479,413.679,38542.8,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275
156,Malilingin - Lokbahan - Paniungan,malilingin – lokbahan – paniungan,Malilingin,Padang Batung,1,1,371,0,0,18164.7,14215,20375.1,802.2,20277.5,0,0,0,0,0,1,1,2023,1,1,2,2024,1,1,2,2024,2,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,141
157,Malilingin - Muara Hariang,malilingin – muara hariang,"Batu Bini, Malilingin",Padang Batung,2,1,1090,0,0,15110.7,11161,17321.1,858.1,17223.5,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
158,Malinau - Kandihin,malinau – kandihin,"Halunuk, Malinau",Loksado,2,1,746,0,1,29795.6,3662.6,32006,2306.6,31908.3,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287
159,Malinau - Katingin - Kamawakan,malinau – katingin – kamawakan,"Kamawakan, Malinau, Tumingki",Loksado,3,1,826,0,1,32644,5566,34854.4,5215.4,34756.8,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,2,2025,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,263
160,Mandampa - Longawang,mandampa – longawang,"Lok Binuang, Longawang, Pakuan Timur",Telaga Langsat,3,1,1073,0,0,3842.4,3621.9,13601.6,722.9,11738.7,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,195
161,Mandapai - Madang,mandapai – madang,"Batu Bini, Madang",Padang Batung,2,1,1167,0,1,6152.3,6491.7,10897,231.7,9295.7,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,2,2025,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,143
162,Mangamol - Ds. Pantai Ulin,mangamol – desa pantai ulin,"Pantai Ulin, Ulin",Simpur,2,1,1333,0,0,5072.3,2739.5,6781.3,1099.5,6945.9,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,225
163,Mangaris - Limau Manis,mangaris – limau manis,"Hariti, Ida Manggala",Sungai Raya,2,1,699,0,1,4079.9,4049.2,9016.5,1953.1,10688.3,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
164,Manggis - Ds. Baru,manggis – desa baru,"Asam, Baru (Sungai Raya) , Sungai Kali",Sungai Raya,3,1,918,0,0,3496.7,2643.3,9580.6,1024,10979.2,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,131
165,Mangunang - Ds. Sungai Raya Utara,mangunang – desa sei raya utara,Sungai Raya Utara,Sungai Raya,1,1,393,0,1,4487.9,1607.4,3210.8,580.7,4882.7,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,117
166,Matang Gadung - Halalang,matang gadung – halalang,Telaga Bidadari,Sungai Raya,1,1,668,0,0,4563,3628.5,2936.3,1004.3,4608.1,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,115
167,Mawangi - Bukuanin - Telaga Langsat,mawangi – bukuanin – telaga langsat,"Hamak, Hamak Timur, Mandala, Mawangi","Padang Batung, Telaga Langsat",4,2,1371,0,1,17414.7,13372,19625.1,15.7,19527.5,0,0,0,0,0,1,2,2023,1,1,3,2024,1,1,4,2025,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,142
168,Mawangi - Pariangan,mawangi – pariangan,"Batu Bini, Mawangi",Padang Batung,2,1,1137,0,1,10447.4,6404.7,12657.8,712,12560.2,0,0,0,0,0,1,3,2023,1,1,3,2023,2,1,3,2023,3,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,158
169,Mawar (Kandangan Utara),mawar kandangan utara,Kandangan Utara,Kandangan,1,1,1142,0,0,1047.6,523.8,2745.9,76.8,29136.3,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,013
170,Mawar (Daha Selatan),mawar daha selatan,Sungai Pinang,Daha Selatan,1,1,706,0,0,1399.3,205.3,2523.2,248.6,883,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295
171,Menuju SMP 7 - Ds. Gambah Dalam,menuju smp 7 – desa gambah dalam,"Gambah Dalam, Gambah Dalam Barat, Gambah Luar",Kandangan,3,1,1887,1,0,4729.7,3206.6,6491.3,314.1,4628.4,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,078
172,Menuju SMPN Malilingin,menuju smpn malilingin,Malilingin,Padang Batung,1,1,371,0,0,12975.4,9025.7,15185.8,305.1,15088.2,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
173,Menuju Stadion 2 Desember,menuju stadion 2 desember,Baluti,Kandangan,1,1,1377,0,1,1857.9,2008,2128.1,1110.1,2176.2,0,0,0,0,0,1,2,2022,2,1,2,2022,3,1,2,2022,4,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,007
174,Merah Johansyah - Melati,merah johansyah – melati,"Kandangan Kota, Kandangan Utara",Kandangan,2,1,4331,0,1,675.3,916.5,2386.1,315.9,523.2,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,006
175,Mesjid Quba,mesjid quba,Amawang Kanan,Kandangan,1,1,630,0,1,1844.4,1994.5,2203.5,572.6,1699.5,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,059
176,MIN Pandak Daun,min pandak daun,"Pandak Daun, Paramaian",Daha Utara,2,1,1018,0,0,3011.5,2376.2,4230.4,719.4,30843.5,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325
177,Mondar (Ulin-Pantai Ulin) - Ds. Ulin,mondar ulin – pantai ulin – desa ulin,"Pantai Ulin, Ulin",Simpur,2,1,1333,0,0,5003.7,2670.9,6712.7,1226.5,6877.3,0,0,0,0,0,1,1,2022,2,1,1,2022,3,1,1,2022,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
178,Monumen 17 Mei - Mandapai,monumen 17 mei – mandapai,Batu Bini,Padang Batung,1,1,719,0,0,7867.5,3824.8,10077.9,1206.6,9980.3,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153
179,Muara Banta - Karang Jawa,muara banta – karang jawa,"Kandangan Kota, Karang Jawa Muka","Kandangan, Padang Batung",2,2,3708,0,1,2252.4,1999.5,3967.4,1087.9,2366.1,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,047
180,Muara Hariang - Bayumbung,muara hariang – bayumbung,"Batu Bini, Halunuk","Loksado, Padang Batung",2,2,1022,0,0,12390.8,8348.1,14601.2,2435.3,14503.6,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,165
181,Muara Kitar - Desa Lumpangi,muara kitar – desa lumpangi,Lumpangi,Loksado,1,1,385,0,1,21696.1,7530,23906.5,558.6,23808.9,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,267
182,Muara Pipii - Tambak Pipii,muara pipii – tambak pipii,Batu Laki,Padang Batung,1,1,507,0,0,23282.2,19332.4,25492.6,37.2,25394.9,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
183,Munggu Raya - Ds. Hariti,munggu raya – desa hariti,Hariti,Sungai Raya,1,1,216,0,1,2846.7,2090.9,6585.1,910.7,8256.9,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
184,Mungkur Galah - Lokpaikat,mungkur galah – lokpaikat,Bumi Berkat,Sungai Raya,1,1,259,0,0,5125.6,5156.3,12297.5,431.3,13969.3,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
185,Muning Tengah - Batang Alai (Pihanin Raya),muning tengah – batang alai pihanin raya,"Muning Tengah, Pihanin Raya",Daha Selatan,2,1,1509,1,0,,,,2414,,1,1,1,1,0,1,1,2021,3,1,1,2021,4,1,1,2021,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,301
186,Muning Tengah - Ds. Muning Dalam,muning tengah – desa muning dalam,"Muning Dalam, Muning Tengah",Daha Selatan,2,1,702,1,0,,,,8055.3,,1,1,1,1,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,302
187,Musyawarah (Kandangan),musyawarah kandangan,"Kandangan Barat, Kandangan Kota",Kandangan,2,1,5063,0,1,868.8,979.1,2413.4,126.3,28513.6,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,020
188,Musyawarah (Nagara),musyawarah nagara,Tumbukan Banyu,Daha Selatan,1,1,923,0,0,747.7,826.7,1900.4,218.6,550.5,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292
189,Negara - Tumbukan Banyu,negara – tumbukan banyu,"Bayanan, Tumbukan Banyu",Daha Selatan,2,1,1550,1,0,0,635.3,1218.9,374,27832,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304
190,Newangsekarti - Ds. Gambah Luar Muka,newangsekarti – desa gambah luar muka,Gambah Luar Muka,Kandangan,1,1,775,0,1,3005.6,1468.3,4799.3,181.9,2936.4,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,070
191,Niagara (Ds. Halunuk) - Ayan,niagara desa halunuk – ayan,Halunuk,Loksado,1,1,303,0,1,13549.6,9506.8,15760,3510.6,15662.3,0,0,0,0,0,0,0,,,0,0,,,1,1,2025,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,262
192,Nomura,nomura,"Jambu Hilir, Kandangan Kota",Kandangan,2,1,5039,0,0,1650.5,975.7,2943.6,503.6,1781.7,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,080
193,Nusa Indah,nusa indah,Kandangan Utara,Kandangan,1,1,1142,0,0,591.1,980.3,2783.1,386.8,920.2,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,010
194,Padang Batung - Batulaki - Malilingin,padang batung – batulaki – malilingin,"Batu Laki, Durian Rabung, Jelatang, Malilingin, Padang Batung",Padang Batung,5,1,1863,0,1,8440.6,4490.9,10651,290.7,10553.4,0,0,0,0,0,1,1,2021,3,1,2,2024,1,1,3,2025,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,140
195,Padang Haur - Ds. Wasah Tengah,padang haur – desa wasah tengah,"Ulin, Wasah Tengah",Simpur,2,1,1190,0,1,2158.3,977.1,5204.5,1039.7,5665.1,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,2,2025,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,231
196,Padang Palas,padang palas,Amawang Kiri,Kandangan,1,1,786,0,0,5334,4207.6,6349.2,481.1,5015.7,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,063
197,Padang Rasau (Tambak Tamiang) - Paku Pantai,padang rasau tambak tamiang – paku pantai,"Baluti, Jambu Hulu","Kandangan, Padang Batung",2,2,1928,0,0,4307.5,3805.9,4316.5,79.2,4625.8,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
198,Pagar  Haur - Malutu,pagar haur – malutu,Jelatang,Padang Batung,1,1,373,0,0,8716.9,4767.1,10927.3,566.9,10829.6,0,0,0,0,0,1,2,2023,1,1,2,2023,2,1,3,2025,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,145
199,Pagat Batu - Muara Hariang,pagat batu – muara hariang,Batu Bini,Padang Batung,1,1,719,0,1,8420.8,4378.1,10631.2,1759.9,10533.6,0,0,0,0,0,1,1,2022,2,1,2,2024,1,1,2,2024,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,148
200,Paharuangan - Asam Dua,paharuangan – asam dua,Sungai Raya Selatan,Sungai Raya,1,1,588,0,0,4931.7,2122.4,6512,2411.6,8183.9,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,122
201,Paharuangan - Sei. Raya Selatan,paharuangan – sei raya selatan,Sungai Raya Selatan,Sungai Raya,1,1,588,0,0,4610.6,1457.8,5847.5,2090.4,7519.3,0,0,0,0,0,1,1,2022,2,1,1,2022,3,1,1,2022,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,111
202,Pajah Api - Ds. Kapuh,pajah api – desa kapuh,"Kapuh, Wasah Tengah",Simpur,2,1,1247,0,0,3337.8,3247.5,3308.3,833.6,4706.9,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,244
203,Pakan Dalam - Kaminting Batu,pakan dalam – kaminting batu,"Pakan Dalam, Pakapuran Kecil, Panggandingan, Tambak Bitin, Tambangan","Daha Selatan, Daha Utara",5,2,4562,0,0,1580.3,945,2799.2,422.7,29412.3,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328
204,Pakan Dalam I,pakan dalam i,Tambak Bitin,Daha Utara,1,1,539,0,0,1383.3,748,2602.2,86.4,29215.3,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321
205,Pakan Dalam II,pakan dalam ii,Pakan Dalam,Daha Utara,1,1,727,0,0,1686.7,1051.4,2905.6,177,29518.7,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322
206,Pakan Dalam III,pakan dalam iii,Pakan Dalam,Daha Utara,1,1,727,0,0,1984.4,1349.1,3203.3,201.1,29816.4,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323
