no,nama_ruas,nama_ruas_norm,desa_yang_dilalui,kecamatan_yang_dilalui,jumlah_desa_yang_dilalui,jumlah_kecamatan_yang_dilalui,jumlah_penduduk_dilayani,terhubung_ruas_provinsi,terhubung_ruas_nasional,jarak_pasar_m,jarak_puskesmas_m,jarak_rsud_m,jarak_sd_smp_m,jarak_ibukota_m,akses_terputus_ibukota,akses_terputus_pasar,akses_terputus_puskesmas,akses_terputus_rsud,akses_terputus_sd_smp,prior_handled_any_pre2024,prior_handled_count_pre2024,prior_handled_last_year_pre2024,years_since_last_handled_pre2024,prior_handled_any_pre2025,prior_handled_count_pre2025,prior_handled_last_year_pre2025,years_since_last_handled_pre2025,prior_handled_any_pre2026,prior_handled_count_pre2026,prior_handled_last_year_pre2026,years_since_last_handled_pre2026,handled_any_2021,handled_any_2022,handled_any_2023,handled_any_2024,handled_any_2025,handled_pl_2021,handled_pl_2022,handled_pl_2023,handled_pl_2024,handled_pl_2025,handled_tender_2021,handled_tender_2022,handled_tender_2023,handled_tender_2024,handled_tender_2025,planned_any_2026,planned_any_2027,planned_pl_2026,planned_pl_2027,planned_tender_2026,planned_tender_2027,source_ml_road_id
11,Angkakai - Ds. Amawang Kiri,angkakai – desa amawang kiri,Amawang Kiri,Kandangan,1,1,786,0,0,4664.3,3176.4,5196.4,490.7,4346,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346
12,Angkinang - Kayu Abang - Panggang Hijau,angkinang – kayu abang – panggang hijau,"Angkinang, Kayu Abang, Tawia",Angkinang,3,1,2516,0,1,4170.6,4803.9,12260.5,1030.9,10397.6,0,0,0,0,0,1,2,2023,1,1,3,2024,1,1,3,2024,2,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,178
13,Angkinang - Telaga Langsat,angkinang – telaga langsat,"Angkinang, Angkinang Selatan, Lok Binuang, Mandala, Telaga Langsat","Angkinang, Telaga Langsat",5,2,2430,0,1,2807.7,2660.1,12566.9,42.4,10704,0,0,0,0,0,1,1,2021,3,1,2,2024,1,1,3,2025,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,175
14,Angkinang Selatan - Tawia - Wawaran,angkinang selatan – tawia – wawaran,"Angkinang Selatan, Bakarung, Taniran Kubah, Tawia",Angkinang,4,1,3114,0,0,3473.9,4541,11563.7,1798.1,9700.8,0,0,0,0,0,1,1,2023,1,1,2,2024,1,1,2,2024,2,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,172
15,Anjiran Rantauan - Ds. Taniran Tengah,anjiran rantauan – desa taniran tengah,Taniran Selatan,Angkinang,1,1,545,0,1,2869.7,3143.5,8536.5,474.2,6673.6,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,347
16,Asam Cangkuk - Telaga Bidadari,asam cangkuk – telaga bidadari,"Amawang Kanan, Telaga Bidadari, Wasah Hulu","Kandangan, Simpur, Sungai Raya",3,3,1790,0,0,2965.8,2977.4,2083.4,862.4,3010.9,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,097
17,Asam Duhat - Ds. Pantai Ulin,asam duhat – desa pantai ulin,Pantai Ulin,Simpur,1,1,708,0,0,4362.9,4148.6,11085.9,532.9,7234.7,0,0,0,0,0,1,2,2023,1,1,2,2023,2,1,2,2023,3,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,348
18,Asam Seranggan - Asam Tamiyang,asam seranggan – asam tamiyang,"Asam, Tamiyang",Sungai Raya,2,1,797,0,0,7415,4953,8268.7,979.8,12484.5,0,0,0,0,0,1,1,2022,2,1,1,2022,3,1,1,2022,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
19,At-Taubah - Ds. Kapuh,at – taubah – desa kapuh,Kapuh,Simpur,1,1,682,0,0,2565.8,3045,3705.6,527.9,5104.2,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238
20,Badaun - Ds. Bjayau Lama,badaun – desa bjayau lama,Bajayau Lama,Daha Barat,1,1,426,0,0,,,,612,,1,1,1,1,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343
