road_key,road_geometry_id,source_road_code,source_object_id_nonunique,candidate_nomor_ruas,identity_match_status,display_name,village_count_spatial,villages_spatial,district_count_spatial,districts_spatial
HSS-KAB-047,hss-county-047,047,30,047,exact_normalized,Muara Banta - Karang Jawa,2,Kandangan Kota; Karang Jawa Muka,2,Kandangan; Padang Batung
HSS-KAB-048,hss-county-048,048,31,048,exact_normalized,Sungai Paring - Sei Hanyar Pantai Ulin,4,Pantai Ulin; Sungai Paring; Ulin; Wasah Hulu,2,Kandangan; Simpur
HSS-KAB-049,hss-county-049,049,33,049,exact_normalized,Kandangan Hulu - SP. Tabihi,3,Kandangan Kota; Karang Jawa Muka; Tabihi,2,Kandangan; Padang Batung
HSS-KAB-050,hss-county-050,050,34,050,exact_normalized,Banyu Barau - Sungai Kalang,1,Kandangan Barat,1,Kandangan
HSS-KAB-051,hss-county-051,051,35,051,treatment_engine_alias,Tibung Raya - Asam Cangkok,3,Hamalau; Telaga Bidadari; Tibung Raya,2,Kandangan; Sungai Raya
HSS-KAB-052,hss-county-052,052,958,052,exact_normalized,Gambah Dalam - Rantauan,2,Gambah Dalam; Gambah Luar,1,Kandangan
HSS-KAB-053,hss-county-053,053,41,053,exact_normalized,Gambah Luar - Gambah Dalam,2,Gambah Dalam; Gambah Luar Muka,1,Kandangan
HSS-KAB-054,hss-county-054,054,42,054,exact_normalized,Pegangsaan Timur - Teluk Aman,2,Gambah Dalam; Sungai Kupang,1,Kandangan
HSS-KAB-055,hss-county-055,055,47,055,exact_normalized,Gambah Luar - Sungai Kudung,1,Gambah Luar Muka,1,Kandangan
HSS-KAB-056,hss-county-056,056,151,056,exact_normalized,Bakarung Tengah - Karang Jawa,3,Gambah Luar; Gambah Luar Muka; Karang Jawa Muka,2,Kandangan; Padang Batung
HSS-KAB-057,hss-county-057,057,50,057,treatment_engine_alias,Jl. Papagaran/Pelangsatan,2,Amawang Kanan; Sungai Paring,1,Kandangan
HSS-KAB-058,hss-county-058,058,152,058,exact_normalized,Jl. Tembok Kacil. Sei. Kudung,2,Gambah Luar; Tabihi,2,Kandangan; Padang Batung
HSS-KAB-059,hss-county-059,059,53,059,treatment_engine_alias,Jl. Mesjid Kuba,1,Amawang Kanan,1,Kandangan
HSS-KAB-060,hss-county-060,060,57,,unresolved,Jl. Sungai Karuh Tembus Tawar,2,Amawang Kiri; Lungau,1,Kandangan
HSS-KAB-061,hss-county-061,061,59,061,exact_normalized,Jl. Rambai - Bariang,2,Amawang Kiri Muka; Bariang,1,Kandangan
HSS-KAB-062,hss-county-062,062,60,062,exact_normalized,Jl. Jangkang - Pantai Ulin,3,Amawang Kiri; Pantai Ulin; Sungai Paring,2,Kandangan; Simpur
HSS-KAB-063,hss-county-063,063,61,063,exact_normalized,Jl. Padang Palas,1,Amawang Kiri,1,Kandangan
HSS-KAB-064,hss-county-064,064,63,064,exact_normalized,Tibung Dalam - Teratai,1,Hamalau,1,Sungai Raya
HSS-KAB-065,hss-county-065,065,77,065,exact_normalized,Jl. Kalaka Indah - Perumnas Tibung,1,Hamalau,1,Sungai Raya
HSS-KAB-066,hss-county-066,066,100,066,exact_normalized,Jl. Teratai Menuju Komplek Perumnas Hamalau,1,Hamalau,1,Sungai Raya
HSS-KAB-067,hss-county-067,067,85,067,exact_normalized,Teluk Pinang - Baluti,2,Baluti; Tibung Raya,1,Kandangan
HSS-KAB-068,hss-county-068,068,92,068,exact_normalized,Tibung Raya - Hamalau Dalam,2,Hamalau; Tibung Raya,2,Kandangan; Sungai Raya
