road_key,road_geometry_id,source_road_code,source_object_id,candidate_nomor_ruas,identity_match_status,display_name,district_id,district_name,intersection_length_m
HSS-KAB-058,hss-county-058,058,152,058,exact_normalized,Jl. Tembok Kacil. Sei. Kudung,63.06.02,Padang Batung,41.37
HSS-KAB-058,hss-county-058,058,152,058,exact_normalized,Jl. Tembok Kacil. Sei. Kudung,63.06.05,Kandangan,331.15
HSS-KAB-059,hss-county-059,059,53,059,treatment_engine_alias,Jl. Mesjid Kuba,63.06.05,Kandangan,211.86
HSS-KAB-060,hss-county-060,060,57,,unresolved,Jl. Sungai Karuh Tembus Tawar,63.06.05,Kandangan,1955.91
HSS-KAB-061,hss-county-061,061,59,061,exact_normalized,Jl. Rambai - Bariang,63.06.05,Kandangan,1202.4
HSS-KAB-062,hss-county-062,062,60,062,exact_normalized,Jl. Jangkang - Pantai Ulin,63.06.05,Kandangan,1574.62
HSS-KAB-062,hss-county-062,062,60,062,exact_normalized,Jl. Jangkang - Pantai Ulin,63.06.06,Simpur,115.38
HSS-KAB-063,hss-county-063,063,61,063,exact_normalized,Jl. Padang Palas,63.06.05,Kandangan,678.28
HSS-KAB-064,hss-county-064,064,63,064,exact_normalized,Tibung Dalam - Teratai,63.06.01,Sungai Raya,511.26
HSS-KAB-065,hss-county-065,065,77,065,exact_normalized,Jl. Kalaka Indah - Perumnas Tibung,63.06.01,Sungai Raya,408.85
HSS-KAB-066,hss-county-066,066,100,066,exact_normalized,Jl. Teratai Menuju Komplek Perumnas Hamalau,63.06.01,Sungai Raya,401.97
HSS-KAB-067,hss-county-067,067,85,067,exact_normalized,Teluk Pinang - Baluti,63.06.05,Kandangan,1640.37
HSS-KAB-068,hss-county-068,068,92,068,exact_normalized,Tibung Raya - Hamalau Dalam,63.06.01,Sungai Raya,329.69
HSS-KAB-068,hss-county-068,068,92,068,exact_normalized,Tibung Raya - Hamalau Dalam,63.06.05,Kandangan,571.31
HSS-KAB-069,hss-county-069,069,330,,unresolved,Jl. Baiturrahim,63.06.05,Kandangan,1419.04
HSS-KAB-070,hss-county-070,070,331,070,exact_normalized,Jl. Newangsekarti - Ds. Gambah Luar Muka,63.06.05,Kandangan,293.12
HSS-KAB-071,hss-county-071,071,332,,unresolved,Jl. Tembok Baru (Asam Cangkok,63.06.05,Kandangan,502.48
HSS-KAB-072,hss-county-072,072,179,072,exact_normalized,Sungai Paring - Toba,63.06.06,Simpur,821.92
HSS-KAB-073,hss-county-073,073,333,,unresolved,Jl. Tembok Baru - Baluti,63.06.05,Kandangan,131.24
HSS-KAB-074,hss-county-074,074,334,,unresolved,Jl. H. Jarkasi,63.06.05,Kandangan,123.84
HSS-KAB-075,hss-county-075,075,335,075,exact_normalized,Jl. Bariang - Patigan,63.06.05,Kandangan,1626.7
HSS-KAB-076,hss-county-076,076,339,076,exact_normalized,Gambah Dalam Barat - Mahulung,63.06.04,Angkinang,787.52
HSS-KAB-076,hss-county-076,076,339,076,exact_normalized,Gambah Dalam Barat - Mahulung,63.06.05,Kandangan,1136.12
HSS-KAB-077,hss-county-077,077,338,,unresolved,Jl. Suriangpati,63.06.05,Kandangan,2823.11
HSS-KAB-078,hss-county-078,078,0,078,exact_normalized,Jl. Menuju SMP 7 - Ds. Gambah Dalam,63.06.05,Kandangan,996.16
HSS-KAB-079,hss-county-079,079,336,079,exact_normalized,Jl. Telaga Banta - Patigan,63.06.05,Kandangan,639.51
